method,model,n_queries,ranking_error_l1,ranking_error_l2,mrr_l1,mrr_l2,P@1_L1,R@1_L1,Hit@1_L1,P@1_L2,R@1_L2,Hit@1_L2,nDCG@1,P@5_L1,R@5_L1,Hit@5_L1,P@5_L2,R@5_L2,Hit@5_L2,nDCG@5,P@10_L1,R@10_L1,Hit@10_L1,P@10_L2,R@10_L2,Hit@10_L2,nDCG@10,P@20_L1,R@20_L1,Hit@20_L1,P@20_L2,R@20_L2,Hit@20_L2,nDCG@20
D_tfidf_160,tfidf,917,0.742639040348964,505.17775354416574,0.9177625484363027,0.3679758827613935,0.8735005452562704,0.004207788786074927,0.8735005452562704,0.33805888767720826,0.007175400050319133,0.33805888767720826,0.8480552526354056,0.8436205016357675,0.02022522711218733,0.9705561613958561,0.31777535441657573,0.028909412584158946,0.4034896401308615,0.823871065854461,0.8282442748091569,0.03950237860562949,0.9814612868047983,0.3032715376226828,0.04893107947735941,0.4198473282442748,0.8115005507666846,0.8068157033805892,0.07540780118119765,0.9912758996728462,0.28920392584514726,0.08074362318662104,0.4318429661941112,0.7997316130024115
D_tfidf_120,bm25,917,0.520174482006543,505.06652126499455,0.918293009451147,0.3685703873478298,0.8745910577971646,0.004218795377881958,0.8745910577971646,0.33587786259541985,0.007116320505656363,0.33587786259541985,0.8476917484551076,0.8410032715376222,0.020415769750976937,0.9705561613958561,0.3199563794983642,0.029398491497849146,0.4089422028353326,0.8201948068315813,0.8300981461286782,0.04003958342896584,0.9858233369683751,0.304362050163577,0.05087950188587376,0.42639040348964014,0.8107940804303195,0.8119411123227922,0.07721531543005677,0.9956379498364231,0.28854961832061077,0.08349405796891655,0.4351145038167939,0.8008169225161903
D_tfidf_80,bm25,917,0.5256270447110142,505.59760087241006,0.912680907765922,0.3603366208750336,0.8647764449291166,0.004190050626257517,0.8647764449291166,0.3260632497273719,0.006494234920173629,0.3260632497273719,0.8335150854234826,0.8460196292257353,0.020270941909372335,0.9661941112322792,0.3155943293347874,0.027757852313980882,0.39912758996728465,0.8202534949432455,0.8322791712104659,0.040022167116590596,0.990185387131952,0.29901853871319534,0.04926242049135347,0.42420937840785167,0.809431467114321,0.8056161395856043,0.07651782864223673,0.9978189749182116,0.28097055616139593,0.08240554960846755,0.43838604143947657,0.794482155983007
D_tfidf_80,dense_mpnet,917,0.653217011995638,507.2279171210469,0.905956819618359,0.3519847904170228,0.8560523446019629,0.0041100639221916205,0.8560523446019629,0.311886586695747,0.0057165960394170365,0.311886586695747,0.8255179934569252,0.843838604143946,0.020144434451177078,0.9672846237731734,0.30425299890948754,0.024483665028289518,0.40130861504907306,0.8176989999635772,0.8295528898582302,0.039452462162541974,0.9781897491821155,0.2955288985823339,0.04563606751863658,0.41657579062159217,0.8093322084460248,0.806106870229008,0.07243941089820953,0.9923664122137404,0.2836423118865864,0.07467793474719106,0.42202835332606325,0.7986245642316491
D_tfidf_120,tfidf,917,0.6259541984732825,505.4667393675027,0.9122300445475354,0.36497396991241576,0.8604143947655398,0.0041646429535753164,0.8604143947655398,0.3326063249727372,0.006231758773097905,0.3326063249727372,0.8342420937840789,0.8403489640130855,0.02022587117626865,0.9716466739367503,0.31166848418756804,0.02699625723697993,0.40458015267175573,0.8165060786176904,0.8207197382769872,0.03929776928610322,0.9869138495092693,0.2999999999999999,0.04817427517516214,0.42420937840785167,0.8039645619124319,0.8014721919302064,0.07537500670821595,0.9945474372955289,0.28598691384950925,0.08048190134447486,0.4318429661941112,0.7929892203426567
B_medium_k10,dense_rerank_top50,917,0.9629225736095965,29.242093784078516,0.8901477317213911,0.32974741109934025,0.8386041439476554,0.003618663334001652,0.8386041439476554,0.2900763358778626,0.004228948474812523,0.2900763358778626,0.8087968011632137,0.8327153762268253,0.01745017041234103,0.9465648854961832,0.28702290076335885,0.019023976103356374,0.37295528898582336,0.8047634229541281,0.8239912758996699,0.03403416767298219,0.9760087241003271,0.2829880043620503,0.035978591072751656,0.40458015267175573,0.8009337461612405,0.8104689203925848,0.06399816915379568,0.9858233369683751,0.2764449291166848,0.061882410708038474,0.4198473282442748,0.7967056096364372
B_medium_k20,dense_rerank_top50,917,0.9618320610687023,29.232279171210468,0.8886766390981807,0.3300916363219822,0.8353326063249727,0.0036119593634633676,0.8353326063249727,0.2900763358778626,0.004229133516533264,0.2900763358778626,0.805525263540531,0.8331515812431829,0.017436755179624674,0.9487459105779716,0.2885496183206107,0.01951290203112907,0.376226826608506,0.8049278459250644,0.8235550708833124,0.03406279298939294,0.9760087241003271,0.282660850599782,0.03610099978753569,0.40567066521264994,0.8003770223199225,0.8104689203925849,0.06396542073813369,0.9858233369683751,0.27666303162486366,0.06179286703057258,0.4198473282442748,0.7964504735817769
D_tfidf_80,tfidf,917,0.6924754634678298,505.9803707742639,0.9062101867607767,0.36331710910908527,0.8560523446019629,0.004162125030368451,0.8560523446019629,0.33696837513631406,0.007724127985634929,0.33696837513631406,0.8298800436205022,0.8318429661941106,0.01993079051305917,0.9629225736095965,0.30752453653217016,0.026212321337418056,0.3936750272628135,0.809876697176236,0.8146128680479797,0.03911245299935421,0.9814612868047983,0.2971646673936752,0.047604891838134294,0.4133042529989095,0.7974331940340722,0.7967284623773176,0.07489046976824572,0.9912758996728462,0.28086150490730644,0.07860213640790888,0.42639040348964014,0.7875486183219143
B_medium_k10,bm25,917,0.688113413304253,506.9083969465649,0.8995960739536552,0.3516017988148155,0.8440567066521265,0.004060987771364868,0.8440567066521265,0.31624863685932386,0.006579953726364387,0.31624863685932386,0.82079243911305,0.8279171210468919,0.019921065773066543,0.965103598691385,0.29596510359869116,0.024978456250127682,0.3980370774263904,0.8047821848075309,0.8095965103598665,0.038468887795447076,0.9781897491821155,0.2799345692475463,0.044823690858308174,0.41657579062159217,0.7938946137067124,0.7887131952017454,0.07416203347690828,0.9956379498364231,0.2643947655398036,0.07527739275745464,0.4351145038167939,0.7834098955781524
B_medium_k20,bm25,917,0.5616139585605234,506.4078516902944,0.9040626584110772,0.36507455027847735,0.8516902944383861,0.004168328462140208,0.8516902944383861,0.3336968375136314,0.008247973116289754,0.3336968375136314,0.8276990185387135,0.8200654307524523,0.020160884944328144,0.9672846237731734,0.31145038167938927,0.029184462226961642,0.40458015267175573,0.7995696624610796,0.8104689203925826,0.03951700535814108,0.9923664122137404,0.3005452562704471,0.05122243028237708,0.4351145038167939,0.7923963604870876,0.7946564885496186,0.07615368488975365,0.9967284623773174,0.28544165757906215,0.08180936082806683,0.440567066521265,0.7847642616714772
